id,voo_id,codigo_reserva,nome_passageiro,preco,prim_classe,lugar,no_serie
61,1029,8060,Passageiro 6004,247.65,False,28B,AirbusA320-0004
62,638,6806,Passageiro 8592,743.93,True,2E,Boeing737-0000
63,687,6983,Passageiro 5715,494.85,False,25D,AirbusA320-0007
64,1030,623,Passageiro 5291,225.44,False,25A,Boeing737-0000
65,457,4624,Passageiro 2471,136.31,False,20E,EmbraerE195-0005
66,372,2776,Passageiro 9638,259.95,False,4E,EmbraerE195-0002
67,938,7854,Passageiro 9670,409.89,False,21F,EmbraerE195-0008
68,631,132,Passageiro 3326,355.81,False,14A,EmbraerE195-0005
69,983,2196,Passageiro 6796,476.49,False,27D,EmbraerE195-0002
70,641,6280,Passageiro 4209,158.11,True,1F,Boeing737-0006
71,508,8231,Passageiro 2548,158.98,True,2A,AirbusA320-0007
72,637,7749,Passageiro 9849,236.08,False,27F,Boeing737-0009
73,344,6944,Passageiro 5687,391.08,False,27C,Boeing737-0003
74,830,2004,Passageiro 4178,331.31,False,16C,Boeing737-0000
75,978,8140,Passageiro 9397,335.75,False,13E,Boeing737-0006
76,402,8407,Passageiro 1845,409.4,False,7E,EmbraerE195-0002
77,711,9616,Passageiro 2615,279.86,False,13C,AirbusA320-0010
78,1034,446,Passageiro 7376,460.53,False,6D,Boeing737-0000
79,97,108,Passageiro 3627,392.68,False,19B,EmbraerE195-0008
80,916,9593,Passageiro 5141,298.21,False,13F,Boeing737-0003
81,817,7516,Passageiro 1628,713.98,True,1B,EmbraerE195-0008
82,328,9206,Passageiro 6985,482.44,False,12D,EmbraerE195-0008
83,642,2105,Passageiro 8526,234.53,False,26F,EmbraerE195-0005
84,885,4402,Passageiro 6008,489.37,False,26A,Boeing737-0009
85,590,320,Passageiro 8603,426.57,False,20D,EmbraerE195-0005
86,752,8356,Passageiro 3886,141.86,False,27E,EmbraerE195-0008
87,990,8220,Passageiro 7646,180.6,False,4C,EmbraerE195-0002
88,896,2719,Passageiro 9348,324.53,False,16C,AirbusA320-0007
89,660,5575,Passageiro 6175,334.76,False,4B,AirbusA320-0001
90,579,9602,Passageiro 9138,272.69,False,5F,AirbusA320-0007
91,975,5784,Passageiro 6325,54.46,False,4C,Boeing737-0009
92,326,3728,Passageiro 3241,236.87,False,25A,EmbraerE195-0005
93,466,1444,Passageiro 8446,353.76,False,21E,EmbraerE195-0002
94,946,1477,Passageiro 3677,296.97,False,14C,EmbraerE195-0008
95,774,2457,Passageiro 9159,737.02,True,2D,AirbusA320-0010
96,850,7893,Passageiro 2723,583.87,True,3D,Boeing737-0009
97,387,5033,Passageiro 8876,152.27,False,9E,Boeing737-0000
98,282,4517,Passageiro 4140,210.46,False,18D,Boeing737-0000
99,894,6683,Passageiro 5985,307.1,False,28B,AirbusA320-0001
100,631,2734,Passageiro 7629,646.45,True,1E,EmbraerE195-0005
101,367,5010,Passageiro 8798,285.05,False,5C,EmbraerE195-0011
102,669,8378,Passageiro 7856,217.28,False,9C,AirbusA320-0010
103,887,8510,Passageiro 6520,456.3,False,19D,Boeing737-0003
104,269,8939,Passageiro 7471,368.69,False,8B,AirbusA320-0007
105,256,9009,Passageiro 6585,68.76,False,19D,EmbraerE195-0005
106,785,320,Passageiro 8858,353.64,False,11C,EmbraerE195-0005
107,121,4827,Passageiro 8008,277.19,False,10E,Boeing737-0006
108,439,706,Passageiro 8098,153.24,False,24D,EmbraerE195-0008
109,94,3998,Passageiro 8991,102.5,False,18F,AirbusA320-0007
110,825,4278,Passageiro 2670,942.36,True,2D,Boeing737-0009
111,374,9449,Passageiro 6375,202.28,False,21B,Boeing737-0009
112,915,8614,Passageiro 9956,428.22,False,20F,AirbusA320-0010
113,254,1892,Passageiro 4488,167.7,False,8C,EmbraerE195-0011
114,1005,3788,Passageiro 6921,197.09,True,2F,EmbraerE195-0008
115,326,7601,Passageiro 7507,134.19,False,5A,EmbraerE195-0005
116,509,2109,Passageiro 3574,231.66,False,21B,Boeing737-0003
117,397,8748,Passageiro 2386,126.17,False,13D,EmbraerE195-0011
118,904,2368,Passageiro 2782,61.55,False,11B,EmbraerE195-0005
119,567,9466,Passageiro 6269,385.1,False,16E,Boeing737-0006
120,610,5865,Passageiro 3968,259.12,False,5E,Boeing737-0009
121,1003,6917,Passageiro 1957,165.39,True,1B,AirbusA320-0010
122,405,2404,Passageiro 7057,185.55,False,25B,EmbraerE195-0002
123,921,5979,Passageiro 4508,194.99,True,1E,Boeing737-0009
124,791,8172,Passageiro 8716,266.34,False,5D,AirbusA320-0004
125,827,8792,Passageiro 1142,342.56,False,7C,Boeing737-0009
126,864,5664,Passageiro 2635,296.39,True,2E,EmbraerE195-0008
127,589,8587,Passageiro 7427,409.6,False,24E,AirbusA320-0010
128,726,9064,Passageiro 8526,540.18,True,2E,Boeing737-0003
129,866,8933,Passageiro 2775,448.27,False,19D,EmbraerE195-0005
130,285,9295,Passageiro 1693,475.15,False,9F,Boeing737-0009
131,571,4207,Passageiro 9943,237.09,False,17F,EmbraerE195-0002
132,792,4623,Passageiro 2568,672.88,True,2C,Boeing737-0003
133,884,7617,Passageiro 3216,323.02,False,14A,EmbraerE195-0002
134,671,8439,Passageiro 8471,377.51,True,1D,EmbraerE195-0008
135,653,8971,Passageiro 2622,86.78,False,29D,Boeing737-0003
136,734,3929,Passageiro 8631,309.23,False,5D,AirbusA320-0007
137,633,8177,Passageiro 2424,161.62,True,2F,Boeing737-0000
138,363,6695,Passageiro 1988,134.02,False,28A,Boeing737-0006
139,759,4653,Passageiro 4775,249.82,False,27F,EmbraerE195-0005
140,533,9781,Passageiro 9446,335.36,False,11A,Boeing737-0003
141,483,8529,Passageiro 3096,140.63,False,21B,AirbusA320-0004
142,389,8555,Passageiro 8481,98.96,False,6A,AirbusA320-0007
143,122,1676,Passageiro 7330,121.89,True,3E,AirbusA320-0004
144,1017,6921,Passageiro 4224,484.6,False,28B,Boeing737-0009
145,480,7348,Passageiro 5131,120.77,False,5A,EmbraerE195-0011
146,772,7033,Passageiro 2655,483.95,False,7B,AirbusA320-0001
147,1003,1110,Passageiro 6782,700.86,True,2C,AirbusA320-0010
148,546,2792,Passageiro 2280,93.2,False,19D,Boeing737-0009
149,817,70,Passageiro 5020,75.99,False,12D,EmbraerE195-0008
150,845,8378,Passageiro 5839,153.91,False,25D,Boeing737-0006
151,819,2975,Passageiro 9864,402.33,False,19B,AirbusA320-0001
152,837,656,Passageiro 9805,387.78,False,26D,Boeing737-0009
153,648,2102,Passageiro 3319,674.87,True,1F,EmbraerE195-0008
154,498,4346,Passageiro 4938,196.2,False,26D,AirbusA320-0004
155,598,3448,Passageiro 5084,284.54,True,3D,AirbusA320-0004
156,524,8217,Passageiro 2362,311.04,False,12F,EmbraerE195-0002
157,272,4458,Passageiro 5022,454.51,False,26E,AirbusA320-0010
158,955,6325,Passageiro 3305,371.26,False,22B,Boeing737-0006
159,107,4846,Passageiro 7982,445.11,False,18D,EmbraerE195-0005
160,194,3698,Passageiro 8308,225.87,False,13D,EmbraerE195-0002
161,940,29,Passageiro 4076,455.04,True,2D,EmbraerE195-0005
162,623,6688,Passageiro 3055,356.55,False,9F,EmbraerE195-0005
163,272,109,Passageiro 7270,350.87,False,21F,AirbusA320-0010
164,118,6647,Passageiro 3017,268.05,False,17A,Boeing737-0000
165,1000,2005,Passageiro 5261,436.38,False,10B,EmbraerE195-0002
166,776,3473,Passageiro 4055,461.55,True,3E,EmbraerE195-0011
167,221,6446,Passageiro 8706,327.14,False,10F,Boeing737-0000
168,419,2680,Passageiro 1497,167.21,False,19F,EmbraerE195-0011
169,225,7531,Passageiro 7864,91.67,False,12A,EmbraerE195-0011
170,527,669,Passageiro 4668,291.02,False,24F,AirbusA320-0010
171,868,5293,Passageiro 8532,57.35,False,16B,EmbraerE195-0002
172,645,3981,Passageiro 8253,119.74,False,13E,EmbraerE195-0011
173,716,2322,Passageiro 2160,147.5,False,26C,EmbraerE195-0005
174,315,3844,Passageiro 8073,585.0,True,3E,AirbusA320-0010
175,368,2350,Passageiro 2976,146.59,False,4E,Boeing737-0000
176,911,8706,Passageiro 9666,228.91,False,29E,AirbusA320-0010
177,948,2528,Passageiro 5802,448.03,False,23D,Boeing737-0003
178,855,6689,Passageiro 3431,241.53,False,29C,Boeing737-0003
179,673,5073,Passageiro 2335,169.83,False,8D,AirbusA320-0010
180,799,1455,Passageiro 2275,696.3,True,2C,Boeing737-0003
181,1056,3159,Passageiro 7098,262.79,False,4D,AirbusA320-0010
182,835,6117,Passageiro 9017,251.57,False,25C,EmbraerE195-0011
183,946,101,Passageiro 8515,280.98,False,10C,EmbraerE195-0008
184,1033,5272,Passageiro 5437,273.72,False,26A,AirbusA320-0004
185,841,8626,Passageiro 2418,223.46,False,24C,EmbraerE195-0011
186,949,9646,Passageiro 1638,765.46,True,3E,AirbusA320-0007
187,740,3720,Passageiro 5677,864.34,True,3A,EmbraerE195-0005
188,265,1587,Passageiro 7699,499.78,False,14E,EmbraerE195-0002
189,490,1112,Passageiro 6132,459.86,False,27D,AirbusA320-0001
190,512,5550,Passageiro 6467,963.48,True,3D,AirbusA320-0007
191,649,6921,Passageiro 5344,201.38,False,28D,EmbraerE195-0002
192,437,6320,Passageiro 1003,608.07,True,3E,AirbusA320-0007
193,26,9115,Passageiro 8888,462.47,False,20C,Boeing737-0009
194,595,3202,Passageiro 5164,493.53,False,14C,Boeing737-0003
195,281,6737,Passageiro 3279,462.13,False,26D,EmbraerE195-0011
196,919,4436,Passageiro 2213,379.49,True,1C,EmbraerE195-0005
197,452,5169,Passageiro 2804,433.11,True,2E,EmbraerE195-0005
198,842,8986,Passageiro 7270,722.66,True,3E,EmbraerE195-0011
199,838,3456,Passageiro 6350,102.35,False,15E,Boeing737-0000
200,927,1391,Passageiro 6092,141.63,False,12B,AirbusA320-0007
201,966,4588,Passageiro 6359,169.24,True,3D,AirbusA320-0010
202,956,2361,Passageiro 7989,341.75,True,3A,EmbraerE195-0008
203,450,5292,Passageiro 5439,209.28,False,23C,EmbraerE195-0005
204,752,7790,Passageiro 8577,469.49,False,14B,EmbraerE195-0008
205,846,3631,Passageiro 8215,489.32,False,29C,AirbusA320-0004
206,990,91,Passageiro 8632,126.83,False,23C,EmbraerE195-0002
207,910,9385,Passageiro 8646,979.45,True,2E,EmbraerE195-0002
208,832,997,Passageiro 9978,226.81,False,7F,EmbraerE195-0008
209,801,3141,Passageiro 5497,341.7,False,24A,EmbraerE195-0008
210,227,6,Passageiro 2762,835.18,True,2C,AirbusA320-0010
211,933,4355,Passageiro 7266,175.33,False,19F,AirbusA320-0010
212,85,4822,Passageiro 7874,336.19,False,10F,Boeing737-0006
213,289,9617,Passageiro 3555,425.26,True,2E,AirbusA320-0001
214,981,4426,Passageiro 4702,87.15,False,29A,EmbraerE195-0002
215,657,4665,Passageiro 5221,373.35,False,25B,Boeing737-0009
216,1026,3202,Passageiro 7012,390.98,False,12C,AirbusA320-0001
217,515,9209,Passageiro 1278,182.16,False,13F,EmbraerE195-0008
218,895,573,Passageiro 6277,572.71,True,1C,AirbusA320-0007
219,900,5791,Passageiro 3528,293.56,False,13D,EmbraerE195-0008
220,297,7210,Passageiro 7401,467.1,False,23B,Boeing737-0000
221,469,6390,Passageiro 4824,786.8,True,1E,AirbusA320-0010
222,601,6591,Passageiro 7914,172.79,False,22F,Boeing737-0003
223,781,1070,Passageiro 9978,201.67,False,4E,AirbusA320-0004
224,665,4888,Passageiro 8602,378.84,True,1D,AirbusA320-0007
225,602,1655,Passageiro 7315,395.32,False,27F,Boeing737-0000
226,633,2548,Passageiro 1867,594.24,True,3C,Boeing737-0000
227,1006,7663,Passageiro 5343,472.89,False,15D,AirbusA320-0001
228,456,9744,Passageiro 3252,434.36,False,16B,AirbusA320-0004
229,426,5191,Passageiro 9680,67.93,False,13F,EmbraerE195-0002
230,289,1550,Passageiro 3431,945.2,True,1F,AirbusA320-0001
231,519,6389,Passageiro 6391,478.0,False,15F,AirbusA320-0010
232,752,1375,Passageiro 7979,360.28,False,6C,EmbraerE195-0008
233,388,2676,Passageiro 4290,390.0,False,14F,EmbraerE195-0002
234,662,4769,Passageiro 4515,264.43,False,20F,AirbusA320-0004
235,734,7051,Passageiro 7972,433.1,False,24F,AirbusA320-0007
236,59,7278,Passageiro 4034,815.22,True,2C,EmbraerE195-0002
237,487,7650,Passageiro 3473,280.46,False,14C,Boeing737-0003
238,1041,648,Passageiro 2111,301.89,False,15B,Boeing737-0003
239,429,6361,Passageiro 8405,490.28,False,7B,AirbusA320-0001
240,609,9856,Passageiro 2432,541.17,True,3A,EmbraerE195-0002
241,387,5121,Passageiro 9784,134.76,False,4B,Boeing737-0000
242,669,8527,Passageiro 5163,88.37,False,24C,AirbusA320-0010
243,571,8901,Passageiro 4340,389.5,False,26E,EmbraerE195-0002
244,761,9097,Passageiro 4309,347.1,False,8F,EmbraerE195-0008
245,637,9771,Passageiro 2625,111.19,False,27C,Boeing737-0009
246,345,4268,Passageiro 8208,314.96,False,5C,AirbusA320-0010
247,948,1558,Passageiro 1653,570.83,True,1E,Boeing737-0003
248,575,30,Passageiro 6350,343.88,True,2C,AirbusA320-0001
249,778,9600,Passageiro 1661,122.4,False,11C,EmbraerE195-0011
250,575,5641,Passageiro 7622,412.59,False,6E,AirbusA320-0001
251,803,78,Passageiro 7364,159.15,False,13A,EmbraerE195-0011
252,1020,3439,Passageiro 1028,354.37,False,23C,AirbusA320-0001
253,653,7816,Passageiro 6730,202.74,False,6C,Boeing737-0003
254,410,4569,Passageiro 5116,154.05,False,24B,EmbraerE195-0008
255,454,3913,Passageiro 7411,281.4,False,12B,EmbraerE195-0011
256,257,279,Passageiro 8921,475.92,False,26F,Boeing737-0006
257,776,5271,Passageiro 6940,207.51,False,19A,EmbraerE195-0011
258,290,2914,Passageiro 5096,146.85,False,21E,EmbraerE195-0008
259,708,1423,Passageiro 6430,489.73,False,9D,Boeing737-0006
260,574,4775,Passageiro 2572,620.33,True,3A,EmbraerE195-0011
261,775,462,Passageiro 3041,76.49,False,16D,EmbraerE195-0005
262,908,7442,Passageiro 2388,760.52,True,2B,AirbusA320-0001
263,974,9721,Passageiro 3582,265.9,False,16D,EmbraerE195-0005
264,154,3882,Passageiro 1818,362.58,False,21F,Boeing737-0000
265,604,478,Passageiro 3904,296.67,False,21F,Boeing737-0003
266,640,8485,Passageiro 9613,101.33,False,20A,EmbraerE195-0011
267,948,2241,Passageiro 1895,448.95,False,22D,Boeing737-0003
268,194,8685,Passageiro 9674,154.3,False,19E,EmbraerE195-0002
269,757,7097,Passageiro 2494,447.57,False,11A,AirbusA320-0001
270,1000,2865,Passageiro 7137,91.96,False,14C,EmbraerE195-0002
271,918,1768,Passageiro 8903,160.55,False,11D,AirbusA320-0007
272,266,7417,Passageiro 4346,367.53,False,18F,AirbusA320-0004
273,425,1188,Passageiro 6054,415.39,False,18D,Boeing737-0003
274,880,6,Passageiro 8893,344.26,False,18B,Boeing737-0009
275,60,9574,Passageiro 1039,251.2,False,13C,AirbusA320-0007
276,422,1886,Passageiro 1875,138.15,False,27C,Boeing737-0000
277,699,9647,Passageiro 8358,164.53,False,23F,EmbraerE195-0011
278,537,4213,Passageiro 8616,280.12,False,9D,EmbraerE195-0005
279,715,6518,Passageiro 5305,417.46,False,11B,EmbraerE195-0008
280,267,9843,Passageiro 2608,820.27,True,1F,Boeing737-0003
281,1015,1201,Passageiro 1058,258.56,False,26F,EmbraerE195-0005
282,296,7358,Passageiro 4156,318.61,False,19A,AirbusA320-0004
283,783,3057,Passageiro 2821,425.55,False,28E,Boeing737-0006
284,742,5000,Passageiro 2748,255.05,False,23B,AirbusA320-0001
285,681,9032,Passageiro 2399,292.38,False,28C,Boeing737-0003
286,1023,5393,Passageiro 2037,240.48,False,17A,AirbusA320-0004
287,596,3654,Passageiro 4289,165.9,False,4C,AirbusA320-0010
288,511,4760,Passageiro 1164,432.95,False,17E,EmbraerE195-0005
289,583,3880,Passageiro 1507,591.32,True,1C,AirbusA320-0010
290,344,5819,Passageiro 5381,399.95,False,26C,Boeing737-0003
291,801,9114,Passageiro 6592,495.47,False,8A,EmbraerE195-0008
292,118,3215,Passageiro 9701,347.83,False,16F,Boeing737-0000
293,843,8419,Passageiro 2917,210.98,False,17C,Boeing737-0006
294,513,389,Passageiro 2348,213.26,False,12B,Boeing737-0006
295,500,7778,Passageiro 1729,317.12,False,26C,Boeing737-0009
296,956,9136,Passageiro 7979,476.21,False,23A,EmbraerE195-0008
297,782,827,Passageiro 1793,392.65,False,24A,AirbusA320-0010
298,870,1814,Passageiro 1179,122.86,True,2D,AirbusA320-0004
299,939,6807,Passageiro 3664,412.58,True,1D,AirbusA320-0004
300,885,5907,Passageiro 2944,638.67,True,3A,Boeing737-0009
301,586,7814,Passageiro 5194,208.8,False,15A,AirbusA320-0007
302,776,8100,Passageiro 6284,337.89,False,11E,EmbraerE195-0011
303,630,7169,Passageiro 1843,350.67,False,5E,Boeing737-0006
304,387,2141,Passageiro 6181,67.42,False,23D,Boeing737-0000
305,329,2969,Passageiro 7665,193.67,False,9C,AirbusA320-0001
306,932,2616,Passageiro 3094,326.39,False,13B,AirbusA320-0001
307,522,5858,Passageiro 8669,458.85,False,4E,AirbusA320-0004
308,780,6033,Passageiro 9217,176.86,False,5A,AirbusA320-0001
309,690,734,Passageiro 2715,119.26,False,6F,Boeing737-0000
310,228,7412,Passageiro 7858,135.58,False,14B,Boeing737-0003
311,1057,2525,Passageiro 5042,191.12,False,6F,AirbusA320-0007
312,794,5941,Passageiro 2213,105.96,False,7C,AirbusA320-0004
313,565,8626,Passageiro 5965,301.56,False,7C,AirbusA320-0001
314,127,8329,Passageiro 4875,153.59,False,29D,AirbusA320-0010
315,960,7230,Passageiro 6238,450.3,False,18B,AirbusA320-0001
316,541,4594,Passageiro 3645,474.76,False,28E,AirbusA320-0004
317,693,7925,Passageiro 7621,167.26,False,10B,AirbusA320-0004
318,963,7793,Passageiro 5400,621.71,True,2F,AirbusA320-0004
319,608,3498,Passageiro 4769,534.07,True,1A,Boeing737-0000
320,494,263,Passageiro 5710,926.27,True,2F,EmbraerE195-0002
321,659,8795,Passageiro 8220,77.66,False,6E,AirbusA320-0007
322,985,1071,Passageiro 3042,475.13,False,7D,EmbraerE195-0011
323,369,172,Passageiro 9423,714.16,True,2C,AirbusA320-0010
324,956,4582,Passageiro 7053,453.01,False,22B,EmbraerE195-0008
325,257,1513,Passageiro 6010,299.99,False,20E,Boeing737-0006
326,978,6252,Passageiro 8895,251.97,False,22E,Boeing737-0006
327,1010,6324,Passageiro 8497,383.18,False,15F,Boeing737-0009
328,237,9475,Passageiro 9866,735.82,True,2D,EmbraerE195-0011
329,1038,8789,Passageiro 9446,369.38,False,21C,AirbusA320-0004
330,417,1023,Passageiro 7417,460.27,False,28C,AirbusA320-0001
331,219,6098,Passageiro 5514,831.77,True,3E,EmbraerE195-0005
332,985,4187,Passageiro 3750,455.98,False,21B,EmbraerE195-0011
333,508,6213,Passageiro 5642,167.14,False,19E,AirbusA320-0007
334,1022,5494,Passageiro 2192,413.05,False,20E,AirbusA320-0007
335,591,6424,Passageiro 7005,809.92,True,3F,Boeing737-0000
336,123,4308,Passageiro 7654,120.67,False,5B,AirbusA320-0010
337,809,4978,Passageiro 7252,368.25,False,8E,AirbusA320-0007
338,633,8410,Passageiro 1404,333.28,False,27A,Boeing737-0000
339,899,6304,Passageiro 7509,256.39,False,18D,EmbraerE195-0005
340,666,455,Passageiro 9171,211.9,False,27D,EmbraerE195-0002
341,918,7909,Passageiro 8887,84.06,False,25D,AirbusA320-0007
342,602,3307,Passageiro 1617,408.52,False,15B,Boeing737-0000
343,904,9357,Passageiro 9773,514.64,True,3F,EmbraerE195-0005
344,746,4436,Passageiro 2365,924.01,True,2A,AirbusA320-0010
345,1045,8471,Passageiro 1088,158.19,False,9E,EmbraerE195-0005
346,949,6071,Passageiro 6881,86.66,False,7D,AirbusA320-0007
347,201,1442,Passageiro 3773,164.19,False,20C,AirbusA320-0007
348,237,3964,Passageiro 8756,460.12,False,10B,EmbraerE195-0011
349,1054,3709,Passageiro 9332,344.4,False,4F,EmbraerE195-0005
350,703,6725,Passageiro 8034,261.16,False,20E,AirbusA320-0010
351,658,2535,Passageiro 8282,269.02,False,4A,AirbusA320-0007
352,535,3740,Passageiro 9320,461.78,False,18B,EmbraerE195-0008
353,563,6640,Passageiro 8819,287.36,False,18F,Boeing737-0000
354,181,6305,Passageiro 9750,497.08,False,25B,AirbusA320-0007
355,239,9782,Passageiro 6046,698.05,True,2F,EmbraerE195-0002
356,934,3908,Passageiro 4229,246.89,False,22A,AirbusA320-0001
357,1021,5786,Passageiro 5910,234.11,False,28A,Boeing737-0000
358,906,3652,Passageiro 1041,218.71,False,23B,AirbusA320-0001
359,928,9654,Passageiro 5100,319.18,False,11B,EmbraerE195-0002
360,820,1063,Passageiro 9792,449.6,False,17A,AirbusA320-0010
361,849,7053,Passageiro 9868,483.14,False,19F,Boeing737-0009
362,531,2157,Passageiro 1713,128.71,False,25B,EmbraerE195-0002
363,719,9375,Passageiro 9755,76.14,False,11C,AirbusA320-0001
364,221,5128,Passageiro 5928,460.23,False,25F,Boeing737-0000
365,458,419,Passageiro 4069,494.26,False,17B,Boeing737-0000
366,960,1274,Passageiro 7602,615.56,True,3D,AirbusA320-0001
367,1027,4717,Passageiro 2542,614.58,True,3D,AirbusA320-0004
368,619,7098,Passageiro 5048,683.34,True,2F,Boeing737-0009
369,268,6232,Passageiro 4373,466.52,False,22D,AirbusA320-0004
370,946,7540,Passageiro 6729,129.81,False,15E,EmbraerE195-0008
371,1035,1401,Passageiro 8009,398.6,False,29A,Boeing737-0000
372,366,2724,Passageiro 1234,272.92,False,22B,AirbusA320-0004
373,1049,6891,Passageiro 8977,747.28,True,2D,AirbusA320-0007
374,425,8689,Passageiro 4432,109.74,False,23B,Boeing737-0003
375,466,179,Passageiro 7842,493.88,False,4E,EmbraerE195-0002
376,279,7541,Passageiro 2645,58.84,False,23C,AirbusA320-0010
377,417,7027,Passageiro 4721,202.01,False,29F,AirbusA320-0001
378,198,4088,Passageiro 4108,981.25,True,3C,EmbraerE195-0008
379,640,7339,Passageiro 7571,76.54,False,25E,EmbraerE195-0011
380,702,5803,Passageiro 6108,217.51,False,13C,EmbraerE195-0005
381,492,4342,Passageiro 7476,790.94,True,3D,Boeing737-0000
382,829,4555,Passageiro 9063,489.43,False,10C,EmbraerE195-0005
383,506,5570,Passageiro 2791,105.52,True,3E,AirbusA320-0010
384,800,894,Passageiro 2252,261.65,False,22E,EmbraerE195-0011
385,875,9732,Passageiro 9380,421.93,False,22B,Boeing737-0006
386,621,6710,Passageiro 6134,64.67,False,20D,EmbraerE195-0002
387,442,2188,Passageiro 9365,69.13,False,5C,Boeing737-0003
388,948,6115,Passageiro 1321,810.03,True,2A,Boeing737-0003
389,851,9689,Passageiro 8066,213.52,False,6E,EmbraerE195-0002
390,1025,7467,Passageiro 5797,779.5,True,1B,Boeing737-0006
391,322,3395,Passageiro 8718,65.46,False,6A,AirbusA320-0007
392,436,9083,Passageiro 6550,243.57,False,25B,AirbusA320-0007
393,643,6935,Passageiro 3326,276.46,False,14E,EmbraerE195-0008
394,167,1433,Passageiro 3574,264.52,True,1A,AirbusA320-0001
395,626,9687,Passageiro 2897,135.37,False,15B,Boeing737-0006
396,970,5289,Passageiro 4285,77.33,False,19F,AirbusA320-0010
397,1032,4052,Passageiro 7937,372.85,False,21A,Boeing737-0006
